0,pos_start,pos_stop,length,dies6_pool,disw2_pool
+3ns,94,174,80,1.5587061991918562e-30,7.243285910104151e-85
+2L,199,239,40,1.4613015011346079e-30,6.559413794381654e-72
+2ns,324,404,80,2.132031488267615e-22,8.281642406210495e-59
+1ns,429,509,80,1.1958583955354272e-18,1.0414069288109027e-60
ARS313,519,599,80,1.071831631214918e-117,2.9197440987638623e-155
-1ns,624,704,80,5.4357392161764244e-14,4.3337596062836617e-45
-1L,724,739,15,0.743767538195458,3.136951268522004e-07
-2ns,774,854,80,6.695609575290234e-10,1.495549330282743e-46
-2L,869,879,10,0.8096078982346557,6.12173001292488e-11
-3ns,929,1009,80,2.750941431578633e-12,1.5805809408090175e-52
